Hit ID,Hit Def,E-value,Score,Identities,Positives,Gaps,Alignment Length
sp|Q9WUH4.1|,RecName: Full=Four and a half LIM domains protein 1; Short=FHL-1 [Rattus norvegicus],0.0,1412.0,266,274,0,280
sp|P97447.3|,RecName: Full=Four and a half LIM domains protein 1; Short=FHL-1; AltName: Full=KyoT; AltName: Full=RBP-associated molecule 14-1; Short=RAM14-1; AltName: Full=Skeletal muscle LIM-protein 1; Short=SLIM; Short=SLIM-1 [Mus musculus],0.0,1405.0,265,273,0,280
sp|Q13642.4|,RecName: Full=Four and a half LIM domains protein 1; Short=FHL-1; AltName: Full=Skeletal muscle LIM-protein 1; Short=SLIM; Short=SLIM-1 [Homo sapiens],2.75507e-168,1217.0,241,246,3,284
sp|O35115.1|,RecName: Full=Four and a half LIM domains protein 2; Short=FHL-2; AltName: Full=LIM domain protein DRAL; AltName: Full=Skeletal muscle LIM-protein 3; Short=SLIM-3 [Rattus norvegicus],1.50669e-98,754.0,135,195,1,280
sp|O35115.1|,RecName: Full=Four and a half LIM domains protein 2; Short=FHL-2; AltName: Full=LIM domain protein DRAL; AltName: Full=Skeletal muscle LIM-protein 3; Short=SLIM-3 [Rattus norvegicus],1.65929e-28,285.0,68,95,7,218
sp|Q14192.3|,RecName: Full=Four and a half LIM domains protein 2; Short=FHL-2; AltName: Full=LIM domain protein DRAL; AltName: Full=Skeletal muscle LIM-protein 3; Short=SLIM-3 [Homo sapiens],5.2191e-98,750.0,134,195,1,280
sp|Q14192.3|,RecName: Full=Four and a half LIM domains protein 2; Short=FHL-2; AltName: Full=LIM domain protein DRAL; AltName: Full=Skeletal muscle LIM-protein 3; Short=SLIM-3 [Homo sapiens],2.21741e-28,284.0,65,99,7,218
sp|O70433.1|,RecName: Full=Four and a half LIM domains protein 2; Short=FHL-2; AltName: Full=Skeletal muscle LIM-protein 3; Short=SLIM-3 [Mus musculus],6.01344e-98,750.0,134,195,1,280
sp|O70433.1|,RecName: Full=Four and a half LIM domains protein 2; Short=FHL-2; AltName: Full=Skeletal muscle LIM-protein 3; Short=SLIM-3 [Mus musculus],2.14959e-28,284.0,68,95,7,218
sp|Q2KI95.1|,RecName: Full=Four and a half LIM domains protein 2; Short=FHL-2 [Bos taurus],4.16813e-96,737.0,130,195,1,280
sp|Q2KI95.1|,RecName: Full=Four and a half LIM domains protein 2; Short=FHL-2 [Bos taurus],2.28736e-28,284.0,66,98,7,218
sp|Q3ZBI6.1|,RecName: Full=Four and a half LIM domains protein 3; Short=FHL-3 [Bos taurus],8.64184e-88,683.0,125,175,1,278
sp|Q3ZBI6.1|,RecName: Full=Four and a half LIM domains protein 3; Short=FHL-3 [Bos taurus],2.01782e-26,270.0,61,96,7,218
sp|Q13643.4|,RecName: Full=Four and a half LIM domains protein 3; Short=FHL-3; AltName: Full=Skeletal muscle LIM-protein 2; Short=SLIM-2 [Homo sapiens],3.93124e-86,672.0,122,174,1,278
sp|Q13643.4|,RecName: Full=Four and a half LIM domains protein 3; Short=FHL-3; AltName: Full=Skeletal muscle LIM-protein 2; Short=SLIM-2 [Homo sapiens],2.60971e-26,269.0,62,95,7,218
sp|Q9WTX7.1|,RecName: Full=Four and a half LIM domains protein 5; Short=FHL-5; AltName: Full=Activator of cAMP-responsive element modulator in testis; Short=Activator of CREM in testis [Mus musculus],4.3476e-84,658.0,124,176,1,276
sp|Q9WTX7.1|,RecName: Full=Four and a half LIM domains protein 5; Short=FHL-5; AltName: Full=Activator of cAMP-responsive element modulator in testis; Short=Activator of CREM in testis [Mus musculus],5.47072e-25,260.0,62,95,7,218
sp|Q9WTX7.1|,RecName: Full=Four and a half LIM domains protein 5; Short=FHL-5; AltName: Full=Activator of cAMP-responsive element modulator in testis; Short=Activator of CREM in testis [Mus musculus],2.33063e-10,153.0,36,53,2,107
